localidade,valor,unidade
Rondônia,5.003.640,Mil Reais
Acre,99.681,Mil Reais
Amazonas,38.294,Mil Reais
Roraima,920.596,Mil Reais
Pará,6.776.976,Mil Reais
Amapá,23.264,Mil Reais
Tocantins,9.825.827,Mil Reais
Maranhão,7.891.914,Mil Reais
Piauí,8.103.444,Mil Reais
Ceará,45.776,Mil Reais
Rio Grande do Norte,-,Mil Reais
Paraíba,-,Mil Reais
Pernambuco,664,Mil Reais
Alagoas,39.840,Mil Reais
Sergipe,-,Mil Reais
Bahia,17.039.054,Mil Reais
Minas Gerais,21.597.044,Mil Reais
Espírito Santo,5.597,Mil Reais
Rio de Janeiro,6.219,Mil Reais
São Paulo,11.912.646,Mil Reais
Paraná,51.315.618,Mil Reais
Santa Catarina,7.016.732,Mil Reais
Rio Grande do Sul,28.674.685,Mil Reais
Mato Grosso do Sul,33.959.597,Mil Reais
Mato Grosso,98.914.301,Mil Reais
Goiás,38.845.072,Mil Reais
Distrito Federal,604.858,Mil Reais
Fonte: PAM
,,
